title,out-line,director,score
웅남이,"코미디, 액션",박성광,7.05
스즈메의 문단속,애니메이션,신카이 마코토,8.28
파벨만스,드라마,스티븐 스필버그,8.84
소울메이트,드라마,민용근,8.67
더 퍼스트 슬램덩크,애니메이션,이노우에 다케히코,9.44
에브리씽 에브리웨어 올 앳 원스+,"액션, 코미디",다니엘 콴,7.82
던전 앤 드래곤: 도적들의 명예,"액션, 모험, 판타지",조나단 골드스타인,
샤잠! 신들의 분노,"액션, 모험",데이비드 F. 샌드버그,6.50
"귀멸의 칼날: 상현집결, 그리고 도공 마을로",애니메이션,소토자키 하루오,4.95
모나리자와 블러드 문,"판타지, 미스터리, 스릴러",애나 릴리 아미푸르,7.06
대외비,"범죄, 드라마",이원태,6.20
플레인,"액션, 스릴러",장-프랑소와 리셰,7.92
아임 히어로 더 파이널,"다큐멘터리, 공연실황",오윤동,9.82
TAR 타르,드라마,토드 필드,7.81
포커페이스,"스릴러, 범죄",러셀 크로우,5.38
리바운드,드라마,장항준,
존 윅 4,액션,채드 스타헬스키,
드림,"코미디, 드라마",이병헌,
옥수역귀신,"공포, 미스터리",정용기,
오토라는 남자,"코미디, 드라마",마크 포스터,
